id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31874354,City Apartment close to city center,51562386,Karim,,Rudolfsheim-Fnfhaus,48.19823,16.32358,Entire home/apt,45,30,11,2022-08-03,0.16,18,216,0,
31877381,"CityPulse Apartment ""Sigmund Stube""",50945012,Easy Flat TEAM,,Margareten,48.19155,16.35602,Entire home/apt,118,2,28,2024-02-17,0.38,52,332,0,
31879681,"CityPulse Studio ""Fiaker""",50945012,Easy Flat TEAM,,Margareten,48.19352,16.35649,Entire home/apt,,1,5,2023-02-25,0.07,52,333,0,
31888463,Cozy Flat in 1070,70182298,Theresa,,Neubau,48.20146358231207,16.346100350860876,Entire home/apt,,3,0,,,1,0,0,
31904233,cute,239169605,Anna,,Hietzing,48.17486,16.28672,Entire home/apt,,2,0,,,1,0,0,
31912794,Romantischer Wiener Altbau direkt im Zentrum,208848596,Nastassja,,Wieden,48.1929,16.36656,Entire home/apt,,2,50,2020-03-08,0.70,1,0,0,
31913150,LEBEN IM GRÜNEN UND DOCH IN DER STADT,239243877,Werner,,Floridsdorf,48.27897,16.45285,Private room,32,3,218,2025-03-02,2.96,1,232,56,
32877033,Altbauwohnung im Herzen des 2. Bezirks,118696503,Theresa,,Leopoldstadt,48.2177,16.38143,Entire home/apt,,2,1,2019-04-13,0.01,1,0,0,
32884763,großes Altbauzimmer für kleines Geld,247405880,Robin,,Leopoldstadt,48.22708,16.38758,Private room,,1,0,,,1,0,0,
32907702,Homely room in flat-share (9th district),51802725,Neele,,Alsergrund,48.22378,16.35356,Private room,,3,2,2019-04-03,0.03,2,0,0,
32914219,The Superior Apartment in Vienna,212031055,EST Residence Schönbrunn,,Penzing,48.18905,16.30135,Entire home/apt,186,1,32,2025-01-03,0.63,5,358,9,
32919548,"Cozy, Modern 1-bdrm Apt w/Garage near VIC-UNO City",93497828,Andel,,Donaustadt,48.25154,16.43836,Entire home/apt,,1,30,2024-08-14,0.42,1,0,2,
